,post,sujet
10,"
Oui, c'est peut-Ãªtre une grosse maladresse de rÃ©daction. Mais la version qui figure sur l'article de Roland Hayes, qui est plus claire, plus complÃ¨te et finalement plus vraisemblable, fait penser Ã  une liaison ponctuelle. Bien sÃ»r, cela ne garantit pas Ã  100% la paternitÃ© de celui-ci. Hadrianus (d) 30 novembre 2012 Ã  21:30 (CET)",frerebogdanof_travaux
11,"
Le groupe de réflexion Zorg724 propose une approche des travaux des Bogdanoff selon deux optiques:
Sur le FOND:
Leurs travaux présentent les intérêts épistémologiques suivants:
- Un échaffaudage théorique sur l'origine du monde.
- Une tentative de réduction du monde physique au monde informationnel, donnant un nouveau souffle au platonisme.
- Une réduction du nombre de dimensions nécessaires pour la description du monde physique : le fait d'envisager une variation de la signature de l'espace-temps suffit à rendre inutile les innombrables dimensions des théories alternatives comme la théorie des cordes.
Sur la FORME:
- Il semblerait, d'après l'enquête de personnes qui interviennent sur cet article, que les thèses ou les livres des bogdanoff seraient plombée d'inepties physiques ou inexactitudes scientifiques.
- Le soutien de scientifiques de renom serait en partie usurpé ou falsifié.
CONCLUSIONS:
Le groupe de réflexion Zorg724 met donc en garde toute personne intéressée par les travaux des Bogdanoff, mais en recommende vivement la lecture: car quand bien même un travail seraît plus que douteux scientifiquement, il apporte par les idées qu'il brasse, une mère d'écume d'interrogations aux perspectives fascinantes.

Zorg724 ----------------------------------------------------- Attention : nous n'avons aucune preuve d'authenticité de la prétendue lettre envoyée par Niedermeier aux Bogdanov. Comme il ont déjà prétendu avoir reçu des courriers d'excuses ou de soutien de la part de scientifique qui se sont avérés imaginaires et forgés (cf. Woit, Schreiber, Kinney sur
la page de Fabien Besnard
on peut légitimement mettre en doute celle-ci, la plus importante de leur opération de communication sur cette affaire.--
YBM
5 août 2005 à 10:24 (CEST)

",frerebogdanof_travaux
12,"

Autre problème : la lettre de Sternheimer n'est pas conforme à l'original.--
YBM
5 août 2005 à 10:31 (CEST)

",frerebogdanof_travaux
13,"

Je trouve tout ça assez génial ! Je me garderais bien de prendre parti mais je suis tout ça avec attention et j'essaie de comprendre. La dissémination d'indices ""pro"" et ""anti"" tout aussi douteux les uns que les autres (forums de discussion, fac-similés louches, etc.) brouille complètement les pistes de l'enquêteur wikipédiste habituel.
(->Jn)
*

",frerebogdanof_travaux
14,"

C'est également mon sentiment. Le travail va être difficile. Dans un premier temps, c'est pour cette raison que j'ai retiré cette section de l'article principal afin d'en faire un article neutre et informatif. Ouf...
©éréales Kille®
|
|☺
5 août 2005 à 11:00 (CEST)

",frerebogdanof_travaux
15,"

Je pense que tu as eu raison, cette séparation de l'article se justifie, non pour une question de plan, mais parce qu'elle permet de séparer les problèmes d'édition.
(->Jn)
*


",frerebogdanof_travaux
16,"
Moi je trouve cela absurde. Quoiqu'il en soit sur le fond, en lisant les échanges des pro et des anti, tout ce que l'on peut apprendre, éventuellement, c'est comment on fabrique n'importe quoi n'importe comment, et combien c'est facile de le faire sur l'Internet. Ce que je retire pour ma part de cette affaire, c'est que le degré de fiabilité de l'Internet est égal à zéro, et que tout ceci n'est vraiemnt pas digne d'esprits scientifiques. Z.
",frerebogdanof_travaux
17,"
Soit précis : quel fabrication de quoi et par qui ?

Sur l'Internet, comme ailleurs, on peut produire des faux, mais on peut aussi vérifier l'authenticité d'un courrier ou d'un propos. C'est qui a été fait sur la plupart des sites sur la polémique.--
YBM
5 août 2005 à 13:34 (CEST)

",frerebogdanof_travaux
18,"

ouaip, le propre de la science, ce n'est pas de dire le VRAI mais d'être ouvert à la réfutabilité (une thèse n'est vraie que tant qu'elle n'a pas été réfutée), cf.
Karl Popper
. En revanche, le net a bien un talon d'Achille dans sa qualité informative, c'est le flux... On peut très vite pourrir le rapport signal/bruit des infos si on sait un peu manipuler Google, et wikipédia (si bien référencé par google) est un enjeu pour les rois de la désinformation. Heureusement, là on a deux armes : 1) ""ils"" (les méchants manipulateurs de vérité) ne sont pas encore tous au courant de la force qu'ont les infos stratégiquement déposées sur wikipédia et 2) il n'y a pas d'article ""irréfutable"" sur wikipédia.
(->Jn)
*

",frerebogdanof_travaux
19,"

Dans le cas qui nous occupe on a bien affaire à une tentative de manipulation massive utilisant l'Internet des moyens pas très avouables (usurpation d'identités d'universités dans l'achat de domaines Internet, fausses identités, documents biaisés, manipulations des articles de Wikipedia, etc.). Mais si les intentions sont nettement mystificatrices, heureusement l'habileté et la finesse ne sont pas vraiment le fort des commettants.--
YBM
5 août 2005 à 14:10 (CEST)

",frerebogdanof_travaux
20,"

Mais les ""commettants"" comme tu dis, ils sont de tous les bords (l'acharnement des anti- est au moins aussi suspect que l'acharnement des pro-), alors comment sais-tu déméler tout ça ?
(->Jn)
*

",frerebogdanof_travaux
21,"

Un exemple, la fameuse page de Fabien Besnard, citée plus haut, affirme
Grichka obtient donc une thèse de mathématiques, avec la mention honorable, la plus basse, rarement attribuée
, or ce n'est pas vrai, les mentions sont : ""passable"", ""honorable"", ""très honorable"", et, le top (mais n'existant pas dans de nombreuses facs), ""très honorables avec félicitations à l'unanimité"". Une autre ""option"" des mentions est le fait de voir déclarer son doctorat ""publiable"".
(->Jn)
*

",frerebogdanof_travaux
22,"

C'est totalement faux. Et Besnard est très bien placé pour savoir de quoi il parle.--
YBM
5 août 2005 à 16:16 (CEST)

",frerebogdanof_travaux
23,"

Tandis que moi je suis juste prof de fac ! Je ne connais pas le fonctionnement de l'Université de Bourgogne, mais ailleurs, ""honorable"" se situe entre ""passable"" et ""très honorable"". La vraie honte d'ailleurs ce n'est pas ""passable"", c'est tout bêtement que le directeur de recherches juge que la thèse ne peut pas être soutenue. D'ailleurs dans beaucoup de facs, ""honorable"" signifie que le mémoire est bon mais que personne ne veut de celui qui l'a soutenu comme collègue.
(->Jn)
*

",frerebogdanof_travaux
24,"

En pratique
c'est donc bel et bien
honorable
qui est la mention la plus basse (de toutes les thèses que j'ai lue ou dont j'ai assisté à la soutenance je n'ai
jamais
vu la mention passable) et la signification que lui attribue Besnard est
exactement
la tienne. Pour d'autre détails sur cette affaire je te conseille la lecture de
l'article de Ciel  Espace
. Je pourrais demander à David Fossé, dont l'enquète est extrèmement blindée, s'il est possible de le citer ici (au passage, les Bogdanov ont traîné le magazine en justice, on attend du nouveau de ce côté à la rentrée)--
YBM
5 août 2005 à 17:01 (CEST)

",frerebogdanof_travaux
25,"

Tu mets de l'eau dans ton vin (je préfère ça à ""c'est totalement faux"") mais en même temps tu me prêtes une vision de la hiérarchie des diplômes universitaires qui n'est pas la mienne, désolé. Je ne sais pas ce que t'ont fait les frères Bogdanoff (outrage à la mode avec leurs combinaisons argentées ?) mais il me semble clair que ton opinion est d'abord affective et, donc, dans la manière dont tu l'exprimes, pas très raisonnable.
(->Jn)
*

",frerebogdanof_travaux
26,"
Mon opinion est motivée par exactement les mêmes raisons que celles de scientifiques comme Connes, Charpak, Riazuelo, Brezin, ... qui luttent afin que le public sache que la prétention qu'ont les frères Bogdanov de se présenter au grand public, en faussant la signification d'un diplôme et en falsififiant purement et simplement des propos de scientifique, comme les géniaux héritiers d'Einstein, von Neumann et Planck réunis. La seule touche personnelle dans cette histoire, c'est que j'ai été au première loges quand Igor a tenté d'enfumer le forum fr.sci.physique (où il n'avait été aucunement question des Boganov dans les semaines ou les mois précédents, ce n'était donc pas une réaction de défense de leur part) en y postant sous des dizaines d'identités fictives et multi-diplômé pour y faire la retape de leur livre. À cette occasion j'ai même eu le plaisir rare de me faire traiter de falsificateur par le falsificateur Igor (sous le nom R. Schwartz - prétendu spécialiste des groupes de Lie) qui a nié l'existence du caviardage (bien réel et toujours en place même dans les éditions récente d'ALBB) du texte d'Urs Schreiber.

Mais ma personne importe peu ici, je ne suis pas l'auteur de la définition originale associé à ""Igor et Grichka Bogdanov"", qui était, à quelques détails près, correcte. Mon rôle s'est limité à signaler (quand on m'en a averti) les modifications fallacieuses du texte par Igor lui-même ici et sur
en:Bogdanov Affair
, c'est l'unique raison du débat autour de ces articles d'ailleurs. Igor doit commencer à se rendre compte qu'il a fait une belle bêtise dans l'histoire : au lieu d'un article court légèrement déplaisant, il va se retrouver avec un résumé des faits autour de cette histoire, c'est ce qui peut lui être le plus horripilant.--
YBM
5 août 2005 à 18:58 (CEST)

",frerebogdanof_travaux
27,"

Je suis également de parti pris, mais vous vous trompez dans l'ordre des mentions des thèses. En haut de l'arbre, il y a ""avec les félicitations du jury"", ""avec les félicitations du jury à l'unanimité"" et ""avec les félicitations du jury à l'unanimité avec autorisation de publication"" ou un truc dans le genre. Et dans la plupart des facs, la mention ""honorable"" dépeint l'étudiant vraiment nul, ce qui équivaut à une autre échelle au bac décroché avec la mention passable au prix d'un rattrapage. Cela dit, c'est très variable selon les facs. D'autre part je trouve totalement indigne de contester l'argumentation d'YBM sous prétexte qu'il serait véhément, et de rabaisser ses arguments au niveau psychologique ou assimilé parce qu'ils sont vachards. Un argument est valide ou non, on s'en cogne qu'il soit ""affectif"" ou motivé par telle chose ou telle autre.--
Romnulphe
5 août 2005 à 18:54 (CEST)

",frerebogdanof_travaux
28,"

En haut de l'arbre, il y a ""avec les félicitations du jury"", ""avec les félicitations du jury à l'unanimité"" et ""avec les félicitations du jury à l'unanimité avec autorisation de publication"" ou un truc dans le genre.
. Je crois avoir vu passer une autorisation de publication pour une thèse n'ayant pas l'unanimité, je ne suis pas certain que ça ait un rapport, c'est un bonus mais pas une mention. Pour le reste, avant ""honorable"" il y a ""passable"". ""Honorable"" n'est pas génial mais ce n'est pas un lot de consolation, c'est la validation d'un certain travail. Ceci dit, tout dépend de la culture des facs : dans certaines, il est difficile d'être honorable, très difficile d'être très honorable et impossible d'obtenir les félicitations.
ce qui équivaut à une autre échelle au bac décroché avec la mention passable au prix d'un rattrapage.
. Non, c'est comme avoir un bac sans aucune mention : rien de brillant, mais le diplôme est bel et bien valable.
D'autre part je trouve totalement indigne de contester l'argumentation d'YBM sous prétexte qu'il serait véhément, et de rabaisser ses arguments au niveau psychologique ou assimilé parce qu'ils sont vachards. Un argument est valide ou non, on s'en cogne qu'il soit ""affectif"" ou motivé par telle chose ou telle autre
- ah non, on ne s'en cogne pas, parce que quand on entre dans le domaine de l'affectif, on parle de tout autre chose que ce qui est le sujet de wikipédia (réunir une information complète et neutre). Il existe des tas de thèses médiocres, mais ce sont celles des frères Bogdanoff qui suscitent ces débats (pour lesquels la quasi totalité des gens est incompétente hein : la physique quantique et les cordes, sans les dessins en plus...), il convient de se demander pourquoi... Parce qu'ils se défendent ? (qu'ils aient raison ou pas, on peut difficilement leur reprocher de le faire) Parce qu'ils profitent d'une notoriété médiatique qui leur permet de sortir à 80 000 ex le fruit de thèses que l'université n'avait pas spécialement jugée ""publiable"" ? Parce qu'ils manquent d'humilité ? (je me rappelle d'un article de Télérama, il y a mille ans, dans lequel ils disaient leur QI) Parce qu'ils se comparent à des géants de la physique ? Parce qu'ils ne restent pas bien parqués dans une discipline, qu'ils mélangent science et fiction ? Tout ça constitue une bonne raison de s'irriter sans doute, mais il n'y aucune raison que ça aboutisse à des articles intéressants sur wikipédia.
(->Jn)
*


",frerebogdanof_travaux
29,"

Je trouve cela affligeant : quelle que soit la mention sanctionnant l'obtention du doctorat, un fait est incontestable : ils l'ont bien obtenu ce doctorat. Oui ou non ? À moins qu'ils ne l'aient volé ou qu'ils l'aient acheté... Même avec une mention passable, j'aurais été fier d'avoir un doctorat... moi qui ne possède en tout et pour tout que le BEPC...
©éréales Kille®
|
|☺
5 août 2005 à 17:09 (CEST)

",frerebogdanof_travaux
30,"

Oui, un doctorat, c'est du sérieux quand même (la preuve, je n'en n'ai pas), surtout dans les ""sciences dures"" (""exactes"") ou l'approximation poétique n'a pas cours. Ceci dit, ça ne signifie pas pour autant que les thèses en question puissent faire autorité.
(->Jn)
*


On a ici le cas rarissime (je ne connais pas d'autre exemple) d'un doctorat obtenu à l'usure, au bout de dix ans et accordé plus par lassitude et pour valider les dix années d'inscriptions accordées successivement. L'histoire de ces dix années reste encore obscure sur bien des points... Tous ceux qui ont pu s'entretenir avec les scientifiques impliquées lors de ces dix années, savent qu'ils sont tous très sévères avec les Bogdanov (surtout pour l'usage qu'ils ont fait de leur doctorat devant le grand public), mais refusent (encore) de s'exprimer publiquement à ce sujet. De toute façons la question de la valeur des travaux exposés dans les thèses ne se pose plus : Damien Calaque et Alain Rizualo, spécialistes respectivement de d'algèbre des groupes quantiques et de cosmologie ont montré que même après une discussion technique avec les auteurs il était rigoureusement impossible d'en tirer quoi que ce soit d'intelligible qui ne soit trivial, au passage l'incompétence en mathématiques et physique élémentaire des Bogdanov a été, une fois de plus, démontrée. Au passage, puisque tu parles de « sciences dures », essaie de trouver dans l'une des deux thèses une seule démonstration de ce qui fonde leur prétendu modèle, tu risques d'être surpris du résultat de ta recherche : il n'y a qu'un empilement de conjectures mal définies sur des analogies verbales et des sauts du coq-à-l'âne (sans parler des bourdes invraisemblables). Je peux comprendre que la nullité profonde des textes en question et l'incompétence totale (inférieure au baccalauréat scientifique) des auteurs puisse surprendre au début : j'ai eu aussi du mal à y croire, malgré l'évidence.--
YBM
5 août 2005 à 19:21 (CEST)


",frerebogdanof_travaux
31,"

Un exemple de fabrication de rumeurs consiste à faire planer le doute sur tel ou tel propos d'une personne en généralisant des preuves au-delà de ce qu'il est possible d'affirmer avec certitude. Ainsi vous dites : ""nous n'avons aucune preuve d'authenticité de la prétendue lettre envoyée par Niedermeier aux Bogdanov. Comme il ont déjà prétendu avoir reçu des courriers d'excuses ou de soutien de la part de scientifique qui se sont avérés imaginaires et forgés, on peut légitimement mettre en doute celle-ci, la plus importante de leur opération de communication sur cette affaire."" Or, plus bas, vous dites, infirmant cette prétendue ""légitimité"" : ""Sur l'Internet, comme ailleurs, on peut produire des faux, mais on peut aussi vérifier l'authenticité d'un courrier ou d'un propos."" De ce fait, la seule manière légitime de mettre en doute la
prétendue
lettre, serait d'en vérifier l'authenticité. Son adresse email étant disponible sur l'Internet, la démarche semble facilement réalisable. Z.

",frerebogdanof_travaux
32,"

N'hésitez donc pas à la faire cette démarche, vous aurez votre réponse. N'oubliez pas de demander à Niedermeier s'il a aussi reconnu avoir été « manipulé » et dans le cas ou tout ou partie de ce que les Bogdanov prétendent avoir reçu de sa part avait bien été écrit par lui, s'il a donné l'autorisatoin de publication.--
YBM
5 août 2005 à 16:16 (CEST)


",frerebogdanof_travaux
33,"

Je pense que je vais le faire ; mais un point me laisse perplexe : Niedermeier dit : ""Je vais envoyer un courrier électronique à toute personne concernée et expliquer que les fondements de mon message étaient incorrects et qu’une information de première main peut être obtenue auprès de vous."" Je crois qu'avant de faire la démarche, il faudrait savoir si les personnes concernées ont effectivement aussi reçues un message envoyé par
Niedermeier
. Si cela n'avait pas été le cas, quelqu'un n'aurait-il pas signalé la fraude ? Le deuxième message est confirmé par Ted Newman. Z.

",frerebogdanof_travaux
34,"
Le second message (dont la seule source publique est un post d'Igor et Grichka sur sci.physics.research en 2002, sans confirmation) peut bien être autentique, il ne confirme en rien le prétendu « aveu » de Niedermeier d'avoir été « manipulé » (il faut être précis dans cette histoire, on a affaire à des anguilles, aucune de leurs calomnies ne doit leur être passée). De toute façon le déclenchement de l'affaire sur les forum anlo-saxon n'est important qu'historiquement : le fait est que leurs articles sont tels qu'ils ont pu être pris pour des canulars à leur publication (sur laquelle il y a beaucoup de chose très étayées à dire) et qu'ils ont été incapable d'en défendre techniquement le contenu, proférant même, au passages, quelques idioties inédites.

Je ne vais pas passer mes journées à expliquer un an après ce que beaucoup se sont déjà donné la peine d'exposer. Tout est en ligne sur le site
Épiphysique
,
la page de F. Besnard
et
celle de John Baez
et les commentaires d'un astrophysicien qualifié, Alain Riazuelo, sont lisibles sur un
forum de maths
, tout y est étayé, vérifié avec des références directes aux sources d'information ou des arguments qu'un élève de terminale scientifique peut comprendre. On est en face d'une des plus grosse mystifications médiatico-scientifiques qu'on ait jamais connue. La belle affaire ! Dans le monde l'affaire est close depuis longtemps et les charlatans mythomanes ont été démystifiés, le débat est ailleurs. Wikipedia n'est devenu un front que parce que Igor Bogdanov a tenté, en douce, de modifier les articles qui le concerne par un rammassis de mensonges.--
YBM
6 août 2005 à 02:36 (CEST)


",frerebogdanof_travaux
35,"
en somme vous avez deux poids et deux mesures : bogdanoff = pas besoin de vérification car faux ; vous = vrai et tout le monde doit donner son assentiment à vos affirmations. Le problème, c'est que ici, certains contributeurs ont l'extraordinaire prétention de faire des articles à partir d'élements mieux établis, par exemple en demandant si Niedermeir est bien l'auteur des messages. Le point est peut-être de peu d'importance pour le fond même du sujet, mais on n'a pas le droit d'écrire un article en faisant des insinuations. Autant être sur de son fait. La question de savoir depuis combien de temps l'affaire serait classée est donc ici sans intérêt. Z.

Je plaçais simplement mon intervention ici dans son contexte. Je trouve, par ailleurs, qu'il est inutile que je redonne ici des preuves et des références qui sont consultables ailleurs (cf. les liens plus hauts). Pour ce qui est de la lettre de Niedermeier je ne vois pas où est l'insinuation quand il s'agit seulement de préciser que la seule source que nous ayons de cette lettre c'est les Bogdanov eux-même et qu'ils ont déjà
à plusieurs reprises
dans leur livre et sur l'Internet donné des citations truquées et gravement tronquées.--
YBM
6 août 2005 à 13:09 (CEST)

",frerebogdanof_travaux
36,"
Si vous estimez qu'il n'est pas nécessaire de donner des preuves et des références ici, vous n'avez rien à faire sur cette encyclopédie. Quand à l'insinuation à propos de la lettre de Niedermeier, vous êtes d'une mauvaise foi assez remarquable. Z.

",frerebogdanof_travaux
37,"

Pourquoi donner de l'importance aux frérots ? Mieux vaudrait les ignorer, car ils sont indignifiants non ? (ou alors parlons aussi de Jean-Claude Bourret :-) )
Stéphane
6 août 2005 à 03:58 (CEST)

",frerebogdanof_travaux
38,"
Pourquoi écrire ce message, si le sujet en est insignifiant ? Très intéressant le procédé sophistique entre parenthèses... vous deviez encore être dans un état d'hilarité avancé je suppose. Z.


",frerebogdanof_travaux
39,"
Il y a juste une chose que je ne comprends pas. Comment des gens qui pretendent vulgariser le savoir par des livres ou des emissions n'arrivent pas à vulgariser leurs travaux à des scientifiques etant au moins de leur valeur. Il n'est pas génant qu'un sujet de thèse soit remis en question, il est cependant dramatique que les auteurs ; qui par ailleurs savent tres bien s'exprimer ; ne soient pas en mesure de souligner les points qui menent à une controverse et ainsi les demontrer ou tout simplement reconnaitre leurs erreurs.

",frerebogdanof_travaux
40,"

Ben sur leur site ils le font un peu. Cependant, quand la physique et les mathématiques se confondent (le XXe siècle et après), on entre dans un domaine de ce que la plupart des gens ne peut pas comprendre, alors on résume tout avec des mots comme ""big bang"" qui même s'ils sont compréhensibles en apparence n'expriment pas tellement ce dont les physiciens parlent entre eux. Je ne pense pas que cette accusation soit très valide, du coup, d'ailleurs une partie de la communauté scientifique braille contre les Hawkins, Gould et autres, qui tentent de rendre leurs travaux accessibles au public et qui du fait tomberaient dans une forme de ""populisme scientifique""... Bref c'est indémerdable indémèlable tout ça, quoique les B-Twins fassent dans le domaine, ils se feront mal voir.
(->Jn)
*

",frerebogdanof_travaux
41,"

Faut quand même pas exagérer ! On a jamais trouvé chez aucun Hawkins, Gould ou autres vulgarisateurs le type d'erreurs et de retape (sans parler des falsifications) qu'on trouve dans les émissions et livres des Bogdanov ! Quant aux discussions sur le fond de leurs travaux avec des spécialistes elles ont toutes mené à des menaces de procès par les Bogdanov d'une part, et à une conviction étayée d'avoir affaire à des fumistes de la part des scientifiques (cf. Calaque ou Riazuelo). Ce n'est pas ""indémerdable"", malgré les manipulations permanentes des auteurs, on peut tout à fait obtenir des avis argumentés de spécialistes sur le contenu des thèses. Une autre chose qui contribuera sans doute à clarifier les choses sera la conclusion du procès qu'ils ont intenté au magazine Ciel  Espace.--
YBM
7 août 2005 à 19:32 (CEST)

",frerebogdanof_travaux
